Date,new cases,cumulative cases
01/22/2020,0,0
01/23/2020,0,0
01/24/2020,0,0
01/25/2020,0,0
01/26/2020,0,0
01/27/2020,0,0
01/28/2020,0,0
01/29/2020,0,0
01/30/2020,0,0
01/31/2020,0,0
02/01/2020,0,0
02/02/2020,0,0
02/03/2020,0,0
02/04/2020,0,0
02/05/2020,0,0
02/06/2020,0,0
02/07/2020,0,0
02/08/2020,0,0
02/09/2020,0,0
02/10/2020,0,0
02/11/2020,0,0
02/12/2020,0,0
02/13/2020,0,0
02/14/2020,0,0
02/15/2020,0,0
02/16/2020,0,0
02/17/2020,0,0
02/18/2020,0,0
02/19/2020,0,0
02/20/2020,0,0
02/21/2020,0,0
02/22/2020,0,0
02/23/2020,0,0
02/24/2020,0,0
02/25/2020,0,0
02/26/2020,0,0
02/27/2020,0,0
02/28/2020,0,0
02/29/2020,0,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,0,0
03/04/2020,0,0
03/05/2020,0,0
03/06/2020,0,0
03/07/2020,0,0
03/08/2020,0,0
03/09/2020,0,0
03/10/2020,0,0
03/11/2020,0,0
03/12/2020,1,1
03/13/2020,0,1
03/14/2020,0,1
03/15/2020,1,2
03/16/2020,0,2
03/17/2020,1,3
03/18/2020,0,3
03/19/2020,2,5
03/20/2020,6,11
03/21/2020,9,20
03/22/2020,11,31
03/23/2020,9,40
03/24/2020,7,47
03/25/2020,6,53
03/26/2020,9,62
03/27/2020,8,70
03/28/2020,6,76
03/29/2020,1,77
03/30/2020,3,80
03/31/2020,4,84
04/01/2020,4,88
04/02/2020,3,91
04/03/2020,2,93
04/04/2020,3,96
04/05/2020,0,96
04/06/2020,1,97
04/07/2020,2,99
04/08/2020,1,100
04/09/2020,2,102
04/10/2020,0,102
04/11/2020,0,102
04/12/2020,0,102
04/13/2020,1,103
04/14/2020,0,103
04/15/2020,0,103
04/16/2020,1,104
04/17/2020,0,104
04/18/2020,0,104
04/19/2020,0,104
04/20/2020,0,104
04/21/2020,0,104
04/22/2020,0,104
04/23/2020,0,104
04/24/2020,0,104
04/25/2020,1,105
04/26/2020,0,105
04/27/2020,0,105
04/28/2020,0,105
04/29/2020,0,105
04/30/2020,0,105
05/01/2020,0,105
05/02/2020,0,105
05/03/2020,0,105
05/04/2020,1,106
05/05/2020,0,106
05/06/2020,0,106
05/07/2020,0,106
05/08/2020,0,106
05/09/2020,0,106
05/10/2020,0,106
05/11/2020,0,106
05/12/2020,0,106
05/13/2020,0,106
05/14/2020,0,106
05/15/2020,0,106
05/16/2020,0,106
05/17/2020,0,106
05/18/2020,0,106
05/19/2020,0,106
05/20/2020,0,106
05/21/2020,0,106
05/22/2020,0,106
05/23/2020,0,106
05/24/2020,0,106
05/25/2020,0,106
05/26/2020,0,106
05/27/2020,0,106
05/28/2020,0,106
05/29/2020,0,106
05/30/2020,0,106
05/31/2020,0,106
06/01/2020,0,106
06/02/2020,0,106
06/03/2020,0,106
06/04/2020,0,106
06/05/2020,0,106
06/06/2020,0,106
06/07/2020,0,106
06/08/2020,0,106
06/09/2020,0,106
06/10/2020,0,106
06/11/2020,0,106
06/12/2020,0,106
06/13/2020,1,107
06/14/2020,0,107
06/15/2020,0,107
06/16/2020,0,107
06/17/2020,0,107
06/18/2020,0,107
06/19/2020,0,107
06/20/2020,0,107
06/21/2020,0,107
06/22/2020,0,107
06/23/2020,0,107
06/24/2020,0,107
06/25/2020,0,107
06/26/2020,0,107
06/27/2020,0,107
06/28/2020,0,107
06/29/2020,0,107
06/30/2020,0,107
07/01/2020,0,107
07/02/2020,0,107
07/03/2020,0,107
07/04/2020,0,107
07/05/2020,0,107
07/06/2020,0,107
07/07/2020,0,107
07/08/2020,0,107
07/09/2020,0,107
07/10/2020,0,107
07/11/2020,0,107
07/12/2020,0,107
07/13/2020,0,107
07/14/2020,0,107
07/15/2020,0,107
07/16/2020,0,107
07/17/2020,0,107
07/18/2020,0,107
07/19/2020,3,110
07/20/2020,2,112
07/21/2020,0,112
07/22/2020,0,112
07/23/2020,0,112
07/24/2020,0,112
07/25/2020,0,112
07/26/2020,0,112
07/27/2020,0,112
07/28/2020,0,112
07/29/2020,0,112
07/30/2020,0,112
07/31/2020,0,112
08/01/2020,0,112
08/02/2020,0,112
08/03/2020,0,112
08/04/2020,0,112
08/05/2020,0,112
08/06/2020,0,112
08/07/2020,0,112
08/08/2020,0,112
08/09/2020,0,112
08/10/2020,0,112
08/11/2020,0,112
08/12/2020,0,112
08/13/2020,0,112
08/14/2020,0,112
08/15/2020,0,112
08/16/2020,0,112
08/17/2020,0,112
08/18/2020,0,112
08/19/2020,0,112
08/20/2020,0,112
08/21/2020,0,112
08/22/2020,0,112
08/23/2020,0,112
08/24/2020,0,112
08/25/2020,0,112
08/26/2020,0,112
08/27/2020,0,112
08/28/2020,0,112
08/29/2020,0,112
08/30/2020,0,112
08/31/2020,0,112
09/01/2020,0,112
09/02/2020,0,112
09/03/2020,0,112
09/04/2020,0,112
09/05/2020,0,112
09/06/2020,0,112
09/07/2020,0,112
09/08/2020,0,112
09/09/2020,0,112
09/10/2020,0,112
09/11/2020,0,112
09/12/2020,0,112
09/13/2020,0,112
09/14/2020,0,112
09/15/2020,0,112
09/16/2020,0,112
09/17/2020,0,112
09/18/2020,0,112
09/19/2020,0,112
09/20/2020,0,112
09/21/2020,0,112
09/22/2020,0,112
09/23/2020,0,112
09/24/2020,0,112
09/25/2020,0,112
09/26/2020,0,112
09/27/2020,0,112
09/28/2020,0,112
09/29/2020,0,112
09/30/2020,0,112
10/01/2020,0,112
10/02/2020,0,112
10/03/2020,0,112
10/04/2020,0,112
10/05/2020,0,112
10/06/2020,0,112
10/07/2020,0,112
10/08/2020,0,112
10/09/2020,0,112
10/10/2020,0,112
10/11/2020,0,112
10/12/2020,0,112
10/13/2020,0,112
10/14/2020,0,112
10/15/2020,0,112
10/16/2020,0,112
10/17/2020,0,112
10/18/2020,0,112
10/19/2020,0,112
10/20/2020,0,112
10/21/2020,0,112
10/22/2020,0,112
10/23/2020,0,112
10/24/2020,0,112
10/25/2020,1,113
10/26/2020,0,113
10/27/2020,0,113
10/28/2020,0,113
10/29/2020,0,113
10/30/2020,0,113
